,Image,Full SIDC,Hierarchy Code,Name,Geometry,Annex
238,,SFGPUCRRF------,1.X.3.1.1.8.8.2 ,RECONNAISSANCE MARINE FORCE,POINT,D
239,,SFGPUCRRL------,1.X.3.1.1.8.8.3 ,RECONNAISSANCE MARINE LIGHT ARMOURED RECONNAISSANCE (LAR),POINT,D
240,,SFGPUCRX-------,1.X.3.1.1.8.9 ,RECONNAISSANCE LONG RANGE SURVEILLANCE (LRS),POINT,D
241,,SFGPUCM--------,1.X.3.1.1.9 ,MISSILE (SURFACE-SURFACE),POINT,D
242,,SFGPUCMT-------,1.X.3.1.1.9.1 ,MISSILE (SURFACE-SURFACE) TACTICAL,POINT,D
243,,SFGPUCMS-------,1.X.3.1.1.9.2 ,MISSILE (SURFACE-SURFACE) STRATEGIC,POINT,D
244,,SFGPUCS--------,1.X.3.1.1.10 ,INTERNAL SECURITY FORCES,POINT,D
245,,SFGPUCSW-------,1.X.3.1.1.10.1 ,RIVERINE,POINT,D
246,,SFGPUCSG-------,1.X.3.1.1.10.2 ,GROUND,POINT,D
247,,SFGPUCSGD------,1.X.3.1.1.10.2.1 ,DISMOUNTED GROUND,POINT,D
248,,SFGPUCSGM------,1.X.3.1.1.10.2.2 ,MOTORIZED GROUND,POINT,D
249,,SFGPUCSGA------,1.X.3.1.1.10.2.3 ,MECHANIZED GROUND,POINT,D
250,,SFGPUCSM-------,1.X.3.1.1.10.3 ,WHEELED MECHANIZED,POINT,D
251,,SFGPUCSR-------,1.X.3.1.1.10.4 ,RAILROAD,POINT,D
252,,SFGPUCSA-------,1.X.3.1.1.10.5 ,AVIATION,POINT,D
253,,SFGPUU---------,1.X.3.1.2 ,COMBAT SUPPORT,POINT,D
254,,SFGPUUA--------,1.X.3.1.2.1 ,COMBAT SUPPORT CBRN,POINT,D
255,,SFGPUUAC-------,1.X.3.1.2.1.1 ,CHEMICAL,POINT,D
256,,SFGPUUACC------,1.X.3.1.2.1.1.1 ,SMOKE/DECON,POINT,D
257,,SFGPUUACCK-----,1.X.3.1.2.1.1.1.1 ,MECHANIZED SMOKE/DECON,POINT,D
258,,SFGPUUACCM-----,1.X.3.1.2.1.1.1.2 ,MOTORIZED SMOKE/DECON,POINT,D
259,,SFGPUUACS------,1.X.3.1.2.1.1.2 ,SMOKE,POINT,D
260,,SFGPUUACSM-----,1.X.3.1.2.1.1.2.1 ,MOTORIZED SMOKE,POINT,D
261,,SFGPUUACSA-----,1.X.3.1.2.1.1.2.2 ,ARMOUR SMOKE,POINT,D
262,,SFGPUUACR------,1.X.3.1.2.1.1.3 ,CHEMICAL RECON,POINT,D
263,,SFGPUUACRW-----,1.X.3.1.2.1.1.3.1 ,CHEMICAL WHEELED ARMOURED VEHICLE,POINT,D
264,,SFGPUUACRS-----,1.X.3.1.2.1.1.3.2 ,CHEMICAL WHEELED ARMOURED VEHICLE RECONNAISSANCE SURVEILLANCE,POINT,D
265,,SFGPUUAN-------,1.X.3.1.2.1.2 ,NUCLEAR,POINT,D
266,,SFGPUUAB-------,1.X.3.1.2.1.3 ,BIOLOGICAL,POINT,D
267,,SFGPUUABR------,1.X.3.1.2.1.3.1 ,RECON EQUIPPED,POINT,D
268,,SFGPUUAD-------,1.X.3.1.2.1.4 ,DECONTAMINATION,POINT,D
269,,SFGPUUM--------,1.X.3.1.2.2 ,MILITARY INTELLIGENCE,POINT,D
270,,SFGPUUMA-------,1.X.3.1.2.2.1 ,AERIAL EXPLOITATION,POINT,D
271,,SFGPUUMS-------,1.X.3.1.2.2.2 ,SIGNAL INTELLIGENCE (SIGINT),POINT,D
272,,SFGPUUMSE------,1.X.3.1.2.2.2.1 ,ELECTRONIC WARFARE,POINT,D
273,,SFGPUUMSEA-----,1.X.3.1.2.2.2.1.1 ,ARMOURED WHEELED VEHICLE,POINT,D
274,,SFGPUUMSED-----,1.X.3.1.2.2.2.1.2 ,DIRECTION FINDING,POINT,D
275,,SFGPUUMSEI-----,1.X.3.1.2.2.2.1.3 ,INTERCEPT,POINT,D
276,,SFGPUUMSEJ-----,1.X.3.1.2.2.2.1.4 ,JAMMING,POINT,D
277,,SFGPUUMSET-----,1.X.3.1.2.2.2.1.5 ,THEATRE,POINT,D
278,,SFGPUUMSEC-----,1.X.3.1.2.2.2.1.6 ,CORPS,POINT,D
279,,SFGPUUMC-------,1.X.3.1.2.2.3 ,COUNTER INTELLIGENCE,POINT,D
280,,SFGPUUMR-------,1.X.3.1.2.2.4 ,SURVEILLANCE,POINT,D
281,,SFGPUUMRG------,1.X.3.1.2.2.4.1 ,GROUND SURVEILLANCE RADAR,POINT,D
282,,SFGPUUMRS------,1.X.3.1.2.2.4.2 ,SENSOR,POINT,D
283,,SFGPUUMRSS-----,1.X.3.1.2.2.4.2.1 ,SENSOR SCM,POINT,D
284,,SFGPUUMRX------,1.X.3.1.2.2.4.3 ,GROUND STATION MODULE,POINT,D
285,,SFGPUUMMO------,1.X.3.1.2.2.4.4 ,METEOROLOGICAL,POINT,D
286,,SFGPUUMO-------,1.X.3.1.2.2.5 ,OPERATIONS,POINT,D
287,,SFGPUUMT-------,1.X.3.1.2.2.6 ,TACTICAL EXPLOIT,POINT,D
288,,SFGPUUMQ-------,1.X.3.1.2.2.7 ,INTERROGATION,POINT,D
289,,SFGPUUMJ-------,1.X.3.1.2.2.8 ,JOINT INTELLIGENCE CENTRE,POINT,D
290,,SFGPUUL--------,1.X.3.1.2.3 ,LAW ENFORCEMENT UNIT,POINT,D
291,,SFGPUULS-------,1.X.3.1.2.3.1 ,SHORE PATROL,POINT,D
292,,SFGPUULM-------,1.X.3.1.2.3.2 ,MILITARY POLICE,POINT,D
293,,SFGPUULC-------,1.X.3.1.2.3.3 ,CIVILIAN LAW ENFORCEMENT,POINT,D
294,,SFGPUULF-------,1.X.3.1.2.3.4 ,SECURITY POLICE (AIR),POINT,D
295,,SFGPUULD-------,1.X.3.1.2.3.5 ,CENTRAL INTELLIGENCE DIVISION (CID),POINT,D
296,,SFGPUUS--------,1.X.3.1.2.4 ,SIGNAL UNIT,POINT,D
297,,SFGPUUSA-------,1.X.3.1.2.4.1 ,AREA,POINT,D
298,,SFGPUUSC-------,1.X.3.1.2.4.2 ,COMMUNICATION CONFIGURED PACKAGE,POINT,D
299,,SFGPUUSCL------,1.X.3.1.2.4.2.1 ,LARGE COMMUNICATION CONFIGURED PACKAGE (LCCP),POINT,D
300,,SFGPUUSO-------,1.X.3.1.2.4.3 ,COMMAND OPERATIONS,POINT,D
301,,SFGPUUSF-------,1.X.3.1.2.4.4 ,FORWARD COMMUNICATIONS,POINT,D
302,,SFGPUUSM-------,1.X.3.1.2.4.5 ,MULTIPLE SUBSCRIBER ELEMENT,POINT,D
303,,SFGPUUSMS------,1.X.3.1.2.4.5.1 ,SMALL EXTENSION NODE,POINT,D
304,,SFGPUUSML------,1.X.3.1.2.4.5.2 ,LARGE EXTENSION NODE,POINT,D
305,,SFGPUUSMN------,1.X.3.1.2.4.5.3 ,NODE CENTRE,POINT,D
306,,SFGPUUSR-------,1.X.3.1.2.4.6 ,RADIO UNIT,POINT,D
307,,SFGPUUSRS------,1.X.3.1.2.4.6.1 ,TACTICAL SATELLITE,POINT,D
308,,SFGPUUSRT------,1.X.3.1.2.4.6.2 ,TELETYPE CENTRE,POINT,D
309,,SFGPUUSRW------,1.X.3.1.2.4.6.3 ,RELAY,POINT,D
310,,SFGPUUSS-------,1.X.3.1.2.4.7 ,SIGNAL SUPPORT,POINT,D
311,,SFGPUUSW-------,1.X.3.1.2.4.8 ,TELEPHONE SWITCH,POINT,D
312,,SFGPUUSX-------,1.X.3.1.2.4.9 ,ELECTRONIC RANGING,POINT,D
313,,SFGPUUI--------,1.X.3.1.2.5 ,INFORMATION WARFARE UNIT,POINT,D
314,,SFGPUUL--------,1.X.3.1.2.6 ,LANDING SUPPORT,POINT,D
315,,SFGPUUE--------,1.X.3.1.2.7 ,EXPLOSIVE ORDINANCE DISPOSAL,POINT,D
316,,SFGPUUT--------,1.X.3.1.2.8 ,TOPOGRAPHIC,POINT,D
317,,SFGPUU---------,1.X.3.1.2.9 ,DOG,POINT,D
318,,SFGPUUD--------,1.X.3.1.2.10 ,DRILLING,POINT,D
319,,SFGPUS---------,1.X.3.1.3 ,COMBAT SERVICE SUPPORT,POINT,D
320,,SFGPUSA--------,1.X.3.1.3.1 ,ADMINISTRATIVE (ADMIN),POINT,D
321,,SFGPUSAT-------,1.X.3.1.3.1.1 ,ADMIN THEATRE,POINT,D
322,,SFGPUSAC-------,1.X.3.1.3.1.2 ,ADMIN CORPS,POINT,D
323,,SFGPUSAJ-------,1.X.3.1.3.1.3 ,JUDGE ADVOCATE GENERAL (JAG),POINT,D
324,,SFGPUSAJT------,1.X.3.1.3.1.3.1 ,JAG THEATRE,POINT,D
325,,SFGPUSAJC------,1.X.3.1.3.1.3.2 ,JAG CORPS,POINT,D
326,,SFGPUSAO-------,1.X.3.1.3.1.4 ,POSTAL,POINT,D
327,,SFGPUSAOT------,1.X.3.1.3.1.4.1 ,POSTAL THEATRE,POINT,D
328,,SFGPUSAOC------,1.X.3.1.3.1.4.2 ,POSTAL CORPS,POINT,D
329,,SFGPUSAF-------,1.X.3.1.3.1.5 ,FINANCE,POINT,D
330,,SFGPUSAFT------,1.X.3.1.3.1.5.1 ,FINANCE THEATRE,POINT,D
331,,SFGPUSAFC------,1.X.3.1.3.1.5.2 ,FINANCE CORPS,POINT,D
332,,SFGPUSAS-------,1.X.3.1.3.1.6 ,PERSONNEL SERVICES,POINT,D
333,,SFGPUSAST------,1.X.3.1.3.1.6.1 ,PERSONNEL THEATRE,POINT,D
334,,SFGPUSASC------,1.X.3.1.3.1.6.2 ,PERSONNEL CORPS,POINT,D
335,,SFGPUSAM-------,1.X.3.1.3.1.7 ,MORTUARY/GRAVES REGISTRY,POINT,D
336,,SFGPUSAMT------,1.X.3.1.3.1.7.1 ,MORTUARY/GRAVES REGISTRY THEATRE,POINT,D
337,,SFGPUSAMC------,1.X.3.1.3.1.7.2 ,MORTUARY/GRAVES REGISTRY CORPS,POINT,D
338,,SFGPUSAR-------,1.X.3.1.3.1.8 ,RELIGIOUS/CHAPLAIN,POINT,D
339,,SFGPUSART------,1.X.3.1.3.1.8.1 ,RELIGIOUS/CHAPLAIN THEATRE,POINT,D
340,,SFGPUSARC------,1.X.3.1.3.1.8.2 ,RELIGIOUS/CHAPLAIN CORPS,POINT,D
341,,SFGPUSAP-------,1.X.3.1.3.1.9 ,PUBLIC AFFAIRS,POINT,D
342,,SFGPUSAPT------,1.X.3.1.3.1.9.1 ,PUBLIC AFFAIRS THEATRE,POINT,D
343,,SFGPUSAPC------,1.X.3.1.3.1.9.2 ,PUBLIC AFFAIRS CORPS,POINT,D
344,,SFGPUSAPB------,1.X.3.1.3.1.9.3 ,PUBLIC AFFAIRS BROADCAST,POINT,D
345,,SFGPUSAPBT-----,1.X.3.1.3.1.9.3.1 ,PUBLIC AFFAIRS BROADCAST THEATRE,POINT,D
346,,SFGPUSAPBC-----,1.X.3.1.3.1.9.3.2 ,PUBLIC AFFAIRS BROADCAST CORPS,POINT,D
347,,SFGPUSAPM------,1.X.3.1.3.1.9.4 ,PUBLIC AFFAIRS JOINT INFORMATION BUREAU (JIB),POINT,D
348,,SFGPUSAPMT-----,1.X.3.1.3.1.9.4.1 ,PUBLIC AFFAIRS JIB THEATRE,POINT,D
349,,SFGPUSAPMC-----,1.X.3.1.3.1.9.4.2 ,PUBLIC AFFAIRS JIB CORPS,POINT,D
350,,SFGPUSAX-------,1.X.3.1.3.1.10 ,REPLACEMENT HOLDING UNIT (RHU),POINT,D
351,,SFGPUSAXT------,1.X.3.1.3.1.10.1 ,RHU THEATRE,POINT,D
352,,SFGPUSAXC------,1.X.3.1.3.1.10.2 ,RHU CORPS,POINT,D
353,,SFGPUSAL-------,1.X.3.1.3.1.11 ,LABOUR,POINT,D
354,,SFGPUSALT------,1.X.3.1.3.1.11.1 ,LABOUR THEATRE,POINT,D
355,,SFGPUSALC------,1.X.3.1.3.1.11.2 ,LABOUR CORPS,POINT,D
356,,SFGPUSAW-------,1.X.3.1.3.1.12 ,MORAL WELFARE RECREATION (MWR) ,POINT,D
357,,SFGPUSAWT------,1.X.3.1.3.1.12.1 ,MWR THEATRE,POINT,D
358,,SFGPUSAWC------,1.X.3.1.3.1.12.2 ,MWR CORPS,POINT,D
359,,SFGPUSAQ-------,1.X.3.1.3.1.13 ,QUARTERMASTER (SUPPLY),POINT,D
360,,SFGPUSAQT------,1.X.3.1.3.1.13.1 ,QUARTERMASTER (SUPPLY) THEATRE,POINT,D
361,,SFGPUSAQC------,1.X.3.1.3.1.13.2 ,QUARTERMASTER (SUPPLY) CORPS,POINT,D
362,,SFGPUSM--------,1.X.3.1.3.2 ,MEDICAL,POINT,D
363,,SFGPUSMT-------,1.X.3.1.3.2.1 ,MEDICAL THEATRE,POINT,D
364,,SFGPUSMC-------,1.X.3.1.3.2.2 ,MEDICAL CORPS,POINT,D
365,,SFGPUSMM-------,1.X.3.1.3.2.3 ,MEDICAL TREATMENT FACILITY,POINT,D
366,,SFGPUSMMT------,1.X.3.1.3.2.3.1 ,MEDICAL TREATMENT FACILITY THEATRE,POINT,D
367,,SFGPUSMMC------,1.X.3.1.3.2.3.2 ,MEDICAL TREATMENT FACILITY CORPS,POINT,D
368,,SFGPUSMV-------,1.X.3.1.3.2.4 ,MEDICAL VETERINARY,POINT,D
369,,SFGPUSMVT------,1.X.3.1.3.2.4.1 ,MEDICAL VETERINARY THEATRE,POINT,D
370,,SFGPUSMVC------,1.X.3.1.3.2.4.2 ,MEDICAL VETERINARY CORPS,POINT,D
371,,SFGPUSMD-------,1.X.3.1.3.2.5 ,MEDICAL DENTAL,POINT,D
372,,SFGPUSMDT------,1.X.3.1.3.2.5.1 ,MEDICAL DENTAL THEATRE,POINT,D
373,,SFGPUSMDC------,1.X.3.1.3.2.5.2 ,MEDICAL DENTAL CORPS,POINT,D
374,,SFGPUSMP-------,1.X.3.1.3.2.6 ,MEDICAL PSYCHOLOGICAL,POINT,D
375,,SFGPUSMPT------,1.X.3.1.3.2.6.1 ,MEDICAL PSYCHOLOGICAL THEATRE,POINT,D
376,,SFGPUSMPC------,1.X.3.1.3.2.6.2 ,MEDICAL PSYCHOLOGICAL CORPS,POINT,D
377,,SFGPUSS--------,1.X.3.1.3.3 ,SUPPLY,POINT,D
378,,SFGPUSST-------,1.X.3.1.3.3.1 ,SUPPLY THEATRE,POINT,D
379,,SFGPUSSC-------,1.X.3.1.3.3.2 ,SUPPLY CORPS,POINT,D
380,,SFGPUSS1-------,1.X.3.1.3.3.3 ,SUPPLY CLASS I,POINT,D
381,,SFGPUSS1T------,1.X.3.1.3.3.3.1 ,SUPPLY CLASS I THEATRE,POINT,D
382,,SFGPUSS1C------,1.X.3.1.3.3.3.2 ,SUPPLY CLASS I CORPS,POINT,D
383,,SFGPUSS2-------,1.X.3.1.3.3.4 ,SUPPLY CLASS II,POINT,D
384,,SFGPUSS2T------,1.X.3.1.3.3.4.1 ,SUPPLY CLASS II THEATRE,POINT,D
385,,SFGPUSS2C------,1.X.3.1.3.3.4.2 ,SUPPLY CLASS II CORPS,POINT,D
386,,SFGPUSS3-------,1.X.3.1.3.3.5 ,SUPPLY CLASS III,POINT,D
387,,SFGPUSS3T------,1.X.3.1.3.3.5.1 ,SUPPLY CLASS III THEATRE,POINT,D
388,,SFGPUSS3C------,1.X.3.1.3.3.5.2 ,SUPPLY CLASS III CORPS,POINT,D
389,,SFGPUSS3A------,1.X.3.1.3.3.5.3 ,SUPPLY CLASS III AVIATION,POINT,D
390,,SFGPUSS3AT-----,1.X.3.1.3.3.5.3.1 ,SUPPLY CLASS III AVIATION,POINT,D
391,,SFGPUSS3AC-----,1.X.3.1.3.3.5.3.2 ,SUPPLY CLASS III AVIATION CORPS,POINT,D
392,,SFGPUSS4-------,1.X.3.1.3.3.6 ,SUPPLY CLASS IV,POINT,D
393,,SFGPUSS4T------,1.X.3.1.3.3.6.1 ,SUPPLY CLASS IV THEATRE,POINT,D
394,,SFGPUSS4C------,1.X.3.1.3.3.6.2 ,SUPPLY CLASS IV CORPS,POINT,D
395,,SFGPUSS5-------,1.X.3.1.3.3.7 ,SUPPLY CLASS V,POINT,D
396,,SFGPUSS5T------,1.X.3.1.3.3.7.1 ,SUPPLY CLASS V THEATRE,POINT,D
397,,SFGPUSS5C------,1.X.3.1.3.3.7.2 ,SUPPLY CLASS V CORPS,POINT,D
398,,SFGPUSS6-------,1.X.3.1.3.3.8 ,SUPPLY CLASS VI,POINT,D
399,,SFGPUSS6T------,1.X.3.1.3.3.8.1 ,SUPPLY CLASS VI THEATRE,POINT,D
400,,SFGPUSS6C------,1.X.3.1.3.3.8.2 ,SUPPLY CLASS VI CORPS,POINT,D
401,,SFGPUSS7-------,1.X.3.1.3.3.9 ,SUPPLY CLASS VII,POINT,D
402,,SFGPUSS7T------,1.X.3.1.3.3.9.1 ,SUPPLY CLASS VII THEATRE,POINT,D
403,,SFGPUSS7C------,1.X.3.1.3.3.9.2 ,SUPPLY CLASS VII CORPS,POINT,D
404,,SFGPUSS8-------,1.X.3.1.3.3.10 ,SUPPLY CLASS VIII,POINT,D
405,,SFGPUSS8T------,1.X.3.1.3.3.10.1 ,SUPPLY CLASS VIII THEATRE,POINT,D
406,,SFGPUSS8C------,1.X.3.1.3.3.10.2 ,SUPPLY CLASS VIII CORPS,POINT,D
407,,SFGPUSS9-------,1.X.3.1.3.3.11 ,SUPPLY CLASS IX,POINT,D
408,,SFGPUSS9T------,1.X.3.1.3.3.11.1 ,SUPPLY CLASS IX THEATRE,POINT,D
409,,SFGPUSS9C------,1.X.3.1.3.3.11.2 ,SUPPLY CLASS IX CORPS,POINT,D
410,,SFGPUSSX-------,1.X.3.1.3.3.12 ,SUPPLY CLASS X,POINT,D
411,,SFGPUSSXT------,1.X.3.1.3.3.12.1 ,SUPPLY CLASS X THEATRE,POINT,D
412,,SFGPUSSXC------,1.X.3.1.3.3.12.2 ,SUPPLY CLASS X CORPS,POINT,D
413,,SFGPUSSL-------,1.X.3.1.3.3.13 ,SUPPLY LAUNDRY/BATH,POINT,D
414,,SFGPUSSLT------,1.X.3.1.3.3.13.1 ,SUPPLY LAUNDRY/BATH THEATRE,POINT,D
415,,SFGPUSSLC------,1.X.3.1.3.3.13.2 ,SUPPLY LAUNDRY/BATH CORPS,POINT,D
416,,SFGPUSSW-------,1.X.3.1.3.3.14 ,SUPPLY WATER,POINT,D
417,,SFGPUSSWT------,1.X.3.1.3.3.14.1 ,SUPPLY WATER THEATRE,POINT,D
418,,SFGPUSSWC------,1.X.3.1.3.3.14.2 ,SUPPLY WATER CORPS,POINT,D
419,,SFGPUSSWP------,1.X.3.1.3.3.14.3 ,SUPPLY WATER PURIFICATION,POINT,D
420,,SFGPUSSWPT-----,1.X.3.1.3.3.14.3.1 ,SUPPLY WATER PURIFICATION THEATRE,POINT,D
421,,SFGPUSSWPC-----,1.X.3.1.3.3.14.3.2 ,SUPPLY WATER PURIFICATION CORPS,POINT,D
422,,SFGPUST--------,1.X.3.1.3.4 ,TRANSPORTATION,POINT,D
423,,SFGPUSTT-------,1.X.3.1.3.4.1 ,TRANSPORTATION THEATRE,POINT,D
424,,SFGPUSTC-------,1.X.3.1.3.4.2 ,TRANSPORTATION CORPS,POINT,D
425,,SFGPUSTM-------,1.X.3.1.3.4.3 ,MOVEMENT CONTROL CENTRE(MCC),POINT,D
426,,SFGPUSTMT------,1.X.3.1.3.4.3.1 ,MCC THEATRE,POINT,D
427,,SFGPUSTMC------,1.X.3.1.3.4.3.2 ,MCC CORPS,POINT,D
428,,SFGPUSTR-------,1.X.3.1.3.4.4 ,RAILHEAD,POINT,D
429,,SFGPUSTRT------,1.X.3.1.3.4.4.1 ,RAILHEAD THEATRE,POINT,D
430,,SFGPUSTRC------,1.X.3.1.3.4.4.2 ,RAILHEAD CORPS,POINT,D
431,,SFGPUSTS-------,1.X.3.1.3.4.5 ,SPOD/SPOE,POINT,D
432,,SFGPUSTST------,1.X.3.1.3.4.5.1 ,SPOD/SPOE THEATRE,POINT,D
433,,SFGPUSTSC------,1.X.3.1.3.4.5.2 ,SPOD/SPOE CORPS,POINT,D
434,,SFGPUSTA-------,1.X.3.1.3.4.6 ,APOD/APOE,POINT,D
435,,SFGPUSTAT------,1.X.3.1.3.4.6.1 ,APOD/APOE THEATRE,POINT,D
436,,SFGPUSTAC------,1.X.3.1.3.4.6.2 ,APOD/APOE CORPS,POINT,D
437,,SFGPUSTI-------,1.X.3.1.3.4.7 ,MISSILE,POINT,D
438,,SFGPUSTIT------,1.X.3.1.3.4.7.1 ,MISSILE THEATRE,POINT,D
439,,SFGPUSTIC------,1.X.3.1.3.4.7.2 ,MISSILE CORPS,POINT,D
440,,SFGPUSX--------,1.X.3.1.3.5 ,MAINTENANCE,POINT,D
441,,SFGPUSXT-------,1.X.3.1.3.5.1 ,MAINTENANCE THEATRE,POINT,D
442,,SFGPUSXC-------,1.X.3.1.3.5.2 ,MAINTENANCE CORPS,POINT,D
443,,SFGPUSXH-------,1.X.3.1.3.5.3 ,MAINTENANCE HEAVY,POINT,D
444,,SFGPUSXHT------,1.X.3.1.3.5.3.1 ,MAINTENANCE HEAVY THEATRE,POINT,D
445,,SFGPUSXHC------,1.X.3.1.3.5.3.2 ,MAINTENANCE HEAVY CORPS,POINT,D
446,,SFGPUSXR-------,1.X.3.1.3.5.4 ,MAINTENANCE RECOVERY,POINT,D
447,,SFGPUSXRT------,1.X.3.1.3.5.4.1 ,MAINTENANCE RECOVERY THEATRE,POINT,D
448,,SFGPUSXRC------,1.X.3.1.3.5.4.2 ,MAINTENANCE RECOVERY CORPS,POINT,D
449,,SFGPUSXO-------,1.X.3.1.3.5.5 ,ORDINANCE,POINT,D
450,,SFGPUSXOT------,1.X.3.1.3.5.5.1 ,ORDINANCE THEATRE,POINT,D
451,,SFGPUSXOC------,1.X.3.1.3.5.5.2 ,ORDINANCE CORPS,POINT,D
452,,SFGPUSXOM------,1.X.3.1.3.5.5.3 ,ORDINANCE MISSILE,POINT,D
453,,SFGPUSXOMT-----,1.X.3.1.3.5.5.3.1 ,ORDINANCE MISSILE THEATRE,POINT,D
454,,SFGPUSXOMC-----,1.X.3.1.3.5.5.3.2 ,ORDINANCE MISSILE CORPS,POINT,D
455,,SFGPUSXE-------,1.X.3.1.3.5.6 ,ELECTRO-OPTICAL,POINT,D
456,,SFGPUSXET------,1.X.3.1.3.5.6.1 ,ELECTRO-OPTICAL THEATRE,POINT,D
457,,SFGPUSXEC------,1.X.3.1.3.5.6.2 ,ELECTRO-OPTICAL CORPS,POINT,D
458,,SFGPUSXBDR-----,1.X.3.1.3.5.7 ,BATTLE DAMAGE REPAIR,POINT,D
459,,SFGPUSXPM------,1.X.3.1.3.5.8 ,PREVENTIVE MAINTANANCE,POINT,D
460,,SFGPUSXP-------,1.X.3.1.3.6 ,PIPELINE,POINT,D
461,,SFGPUSXEP------,1.X.3.1.3.7 ,ENVIRONMENTAL PROTECTION,POINT,D
462,,SFGPUH---------,1.X.3.1.4 ,SPECIAL C2 HEADQUARTERS COMPONENT,POINT,D
463,,SFGPUH---------,1.X.3.1.5 ,UNIT GENERAL HEADQUARTERS,POINT,D
464,,SFGPUH---------,1.X.3.1.6 ,GENERAL HEADQUARTERS AND SERVICE,POINT,D
465,,SFGPGL---------,1.X.3.1.7 ,UNIT GENERAL LIAISON,POINT,D
466,,SFGPE----------,1.X.3.2 ,GROUND TRACK EQUIPMENT,POINT,D
467,,SFGPEWM--------,1.X.3.2.1.1 ,MISSILE LAUNCHERS,POINT,D
468,,SFGPEWMA-------,1.X.3.2.1.1.1 ,AIR DEFENCE (AD) MISSILE LAUNCH,POINT,D
469,,SFGPEWMAS------,1.X.3.2.1.1.1.1 ,SHORT RANGE AD MISSILE LAUNCHERS,POINT,D
